37410	424.5	179	15.67	66.5	132.5	78	144.5
37411	421.5	174	15.02	65.5	127.5	79	145
37412	421.5	173	15.38	66	131.5	79	144.5
37413	406.5	172.5	14.59	65.5	129	77.5	144
37414	402	172	13.87	65	121	79	141.5
37417	418	171.5	14.08	65	122.5	78.5	142
37418	414.5	171	13.29	67	129.5	78.5	140
37419	404.5	176.5	12.13	67	122	79	138.5
37420	393	180.5	12.49	67	121	78	139.5
37421	394	176	13	63.5	120.5	77	137
37424	410	178.5	12.57	63	126.5	76.5	136
37425	403	184.5	12.49	62	126	76.5	135.5
37426	396	185	12.35	62.5	122	78.5	133
37427	379.5	176	11.12	62	122	74.5	127
37431	369.5	171.5	10.11	61.5	112	74.5	128
37432	383	176	10.47	61	116.5	73.5	132
37433	383.5	173	9.75	60	120.5	76	131
37434	378	177	9.75	58.5	124	76.5	131.5
37435	382	185.5	10.04	60.5	133.5	76	135.5
37438	378	185.5	10.91	60.5	131.5	78	135
37439	360	185.5	10.76	59.5	125.5	78	135
37440	349	179	10.62	60	125.5	78	130.5
37441	351.5	181.5	11.27	60	132.5	77	131
37442	374	183.5	12.42	60.5	142	77	134
37445	376	182.5	11.92	62	140.5	77	134
37446	384	184.5	11.63	62	138	77	132
37447	362	181.5	11.41	61.5	131.5	76.5	130.5
37448	346.5	169.5	10.54	61.5	129.5	75.5	125.5
37449	344	168	10.54	60	129.5	75	125
37452	324	164	9.89	58	121.5	72.5	123.5
37453	330	161	9.97	57	126	68.5	124.5
37454	339.5	160.5	10.83	56	134	68	126
37455	343.5	177	10.47	58.5	128	71.5	124
37456	324	171.5	8.59	56	120.5	70	121.5
37459	312	165.5	8.67	51	117	68	112.5
37460	304.5	157	8.02	49.3	110.5	69	109.5
37461	301.5	157.5	7.37	45.7	108	68	108.5
37462	308	159	6.93	45.8	107	67.5	116
37463	321.5	150.5	5.99	44.5	108	68	108
37466	349.5	167.5	6.5	47	117	69	117.5
37467	339.5	167.5	6.72	50	117	70	119
37468	343	175.5	6.93	50.5	118	72	123.5
37469	339.5	167.5	7.15	49	110.5	70	119
37470	360.5	165.5	6.72	46.9	109.5	71.5	113.5
37473	353	154	5.56	45.2	103	69	110.5
37474	333.5	156.5	5.49	47.2	109	71.5	114
37475	324.5	163.5	5.63	48.2	110	72.5	113
37476	343.5	164	6.17	49.6	116.5	75.5	115.5
37477	351	166.5	6	50	123.5	73.5	113.5
37480	351	169	6.1	49	122	74	114.5
37481	345.5	167	6.6	49.5	121.5	74	115
37482	335	166	5.9	49.9	113.5	76.5	114
37483	342.5	169	5.5	49.9	122.5	77.5	119.5
37484	344.5	170	5.3	47.4	126.5	75.5	119.5
37487	304	173	5.25	47	133.5	76	125.5
37488	282	172.5	5.85	47.4	131	76.5	126
37489	282.5	173	7	50	133.5	74	128.5
37490	284	175.5	8.75	50.5	139.5	71	132.5
37491	285	169.5	7.3	50	134	71.5	130.5
37494	287	165.5	6.7	51.5	129.5	73	129
37495	283	169.5	6.5	53.5	134	73	129.5
37496	276	166.5	6.5	53	124.5	74	127.5
37497	270.5	160	7.05	51.5	123	76	124.5
37498	269.5	161.5	7.15	48	125.5	76	127.5
37501	277.5	161	6.75	49.5	122.5	75.5	125
37502	279	154	6.3	48.5	117.5	75.5	121.5
37503	282	154	6.4	48.5	119.5	76	121.5
37504	286.5	150	6.15	48.5	124	74.5	119.5
37505	295	157	6.75	47.7	130.5	75	124.5
37508	294.5	155.5	6.35	48.5	129.5	75	123
37509	301	163	5.95	47.4	129.5	75.5	124
37510	304	168	6.55	47.8	138	75.5	127.5
37511	296	159.5	6.15	46.5	132.5	73	124.5
37512	290	156.5	5.8	46.2	129.5	73	124.5
37515	288.5	159	5.4	45.5	125.5	74.5	125
37516	287	164	4.99	45.4	124.5	74	122.5
37517	281.5	159	4.8	43.7	117.5	75	116.5
37518	273.5	156.5	4.75	40.9	117	75	118.5
37519	280	153	4.61	40.6	118.5	75	118.5
37522	266	150.5	4.3	35.6	115	75	115.5
37523	261	142	4.22	34.5	113	74	115
37524	275	140	4.1	35.7	119.5	75	115
37525	288.5	148	4.12	36.5	132	73.5	118.5
37526	295.5	148.5	3.92	36.1	132.5	74	118
37529	276	140	3.37	36	122.5	70	111.5
37530	290	144	3.6	34.1	124.5	70.5	112.5
37531	306.5	138.5	4.23	34.6	131.5	70	113.5
37532	307	128	4.3	34.1	129.5	68.5	113.5
37533	297	130.5	4.12	32.2	122	68.5	108
37536	293	120.5	3.81	31.6	121	67.5	103.5
37537	282.5	123.5	3.7	31.9	121	69	99.5
37538	288	125	3.65	32.4	122	64	97
37539	288	134	3.92	34.6	128	66	101
37540	295.5	139.5	4.45	36	132.5	64.5	111
37543	333.5	142.5	4.24	38.8	131.5	63	106
37544	337.5	158	4.82	37.6	143	65	115
37545	326.5	153	4.4	38.2	136	64.5	113
37546	348	158.5	4.96	38.4	151	65	108.5
37547	347	157	5.7	38.1	152.5	67.5	106.5
37550	337	157.5	6.2	38	151	67.5	111
37551	336.5	142	6.05	38.2	153	71	110.5
37552	338.5	137.5	5.65	37.8	148	72	104
37553	340.5	142.5	6.35	36.3	154	68.5	106
37554	341	140	6.6	36.8	154	71	103.5
37557	339	138.5	7.4	40.6	157.5	71	108
37558	333	133.5	6.85	38.8	148.5	67.5	106
37559	336	140	7.35	42	154	69	108
37560	340	139	7.4	46	155	66	111
37561	327.5	134.5	7.25	49.4	151	67	112
37564	326	144.5	8.4	50.5	161.5	63.5	113.5
37565	322	144.5	8.45	49.5	165	64	120.5
37566	327	139	8.05	49	157.5	64.5	118.5
37567	335	136.5	7.6	50	153	66	115
37568	352	134	7.8	50	149	65	114.5
37571	349	133.5	7.9	48	144.5	65.5	116
37572	356	134	8.7	47.7	148	68	116.5
37573	357.5	134	8.75	47.5	155	65	115
37574	356	141.5	9.5	48.7	161.5	63	117
37575	356	141.5	8.9	48.8	161.5	63.5	117.5
37578	361.5	144.5	9.35	50	165.5	63.5	116
37579	357	138	9	49.5	160	62	114.5
37580	353	141.5	9.15	49.8	162.5	61	115
37581	358	152.5	9.9	53.5	172	63.5	118
37582	354	152.5	10	53.5	171.5	61	123.5
37585	345	154.5	9.7	51	173	60	123
37586	346	154	8.8	50	170	63.5	121
37587	351	159.5	9.35	51	176.5	65.5	123.5
37588	348.5	163	9.35	54.5	180	64	125
37589	345	162	8.85	55.5	175	61.5	122.5
37592	342.5	163.5	8.75	54.5	179.5	61	121
37593	346	158.5	8.25	50	169	62.5	116.5
